omega_m,lane,quantum_model,amplitude,stable,refinement_l2,max_correction_ratio,turning_points,blowup_near_turning,final_a,passes_refinement_gate,passes_ratio_gate
0.3,alpha_qg,n/a,5.980320138249203e-07,True,8.128138225234326e-08,0.004005572765069794,0,False,0.5672688306458039,True,True
0.3,bohmian_q,off,5.980320138249203e-07,True,8.249748378916841e-08,0.0,1,False,0.5493950712028609,True,True
0.3,bohmian_q,gaussian,5.980320138249203e-07,True,8.24984943301014e-08,7.4254263728044116e-06,1,False,0.5493790604335798,True,True
0.3,bohmian_q,plateau,5.980320138249203e-07,True,8.24986568682987e-08,7.559643201913885e-06,1,False,0.5493766295273482,True,True
0.3,bohmian_q,unified_dmde_proxy,5.980320138249203e-07,True,8.249860809563658e-08,7.519378765040075e-06,1,False,0.5493773588000397,True,True
0.3,alpha_qg,n/a,7.106000404519682e-07,True,8.105684165499909e-08,0.004759544812136424,0,False,0.5706018816322495,True,True
0.3,bohmian_q,off,7.106000404519682e-07,True,8.249748378916841e-08,0.0,1,False,0.5493950712028609,True,True
0.3,bohmian_q,gaussian,7.106000404519682e-07,True,8.249868403022225e-08,8.822713510413775e-06,1,False,0.5493760466786652,True,True
0.3,bohmian_q,plateau,7.106000404519682e-07,True,8.249887761901221e-08,8.982127142989277e-06,1,False,0.5493731581890545,True,True
0.3,bohmian_q,unified_dmde_proxy,7.106000404519682e-07,True,8.249881808993501e-08,8.934303916417428e-06,1,False,0.5493740247371454,True,True
0.3,alpha_qg,n/a,8.443568334423105e-07,True,8.079208421130456e-08,0.0056554375984079735,0,False,0.5745442836103184,True,True
0.3,bohmian_q,off,8.443568334423105e-07,True,8.249748378916841e-08,0.0,1,False,0.5493950712028609,True,True
0.3,bohmian_q,gaussian,8.443568334423105e-07,True,8.249891234208289e-08,1.0482845670050885e-05,1,False,0.5493724656277568,True,True
0.3,bohmian_q,plateau,8.443568334423105e-07,True,8.249913829771656e-08,1.0672171370439604e-05,1,False,0.5493690334185979,True,True
0.3,bohmian_q,unified_dmde_proxy,8.443568334423105e-07,True,8.249907107276222e-08,1.0615374877910778e-05,1,False,0.5493700630829768,True,True
0.3,alpha_qg,n/a,1.0032907706102438e-06,True,8.048033730479625e-08,0.006719964973946709,0,False,0.5792037087429429,True,True
0.3,bohmian_q,off,1.0032907706102438e-06,True,8.249748378916841e-08,0.0,1,False,0.5493950712028609,True,True
0.3,bohmian_q,gaussian,1.0032907706102438e-06,True,8.24991816217902e-08,1.2455229456434676e-05,1,False,0.5493682104922382,True,True
