t,a_exact,a_approx_on_exact,a_alt_on_exact,abs_diff_exact_approx,abs_diff_exact_alt,abs_diff_approx_alt,rel_diff_exact_approx,rel_diff_exact_alt,rel_diff_approx_alt
1.0365,0.5147698245223975,0.50340618347844945,0.51476967050569378,0.011363641043948047,1.5401670372394705e-07,0.011363487027244323,0.022075188759347327,2.9919528376948504e-07,0.022074889564063557
1.0367500000000001,0.51479896622196319,0.50342959938450504,0.51479879290589448,0.01136936683745815,1.7331606871895389e-07,0.011369193521389431,0.022085061516141539,3.3666747622066078e-07,0.022084724848665319
1.0369999999999999,0.51482809506982685,0.50345301529056063,0.51482791530609506,0.011375079779266217,1.7976373178907323e-07,0.011374900015534428,0.02209490874371061,3.4917234220617133e-07,0.022094559571368404
1.03725,0.51485721107126547,0.50347637128357181,0.51485703770629565,0.011380839787693664,1.7336496982434113e-07,0.01138066642272384,0.022104846825420747,3.3672436958515083e-07,0.022104510101051161
1.0375000000000001,0.51488631423155318,0.50349972727658299,0.51488616010649635,0.01138658695497019,1.5412505682821376e-07,0.011386432829913362,0.022114759394924265,2.9933803359725886e-07,0.022114460056890668
1.03775,0.51491540455596096,0.50352308326959405,0.51491528250669694,0.011392321286366913,1.2204926402858973e-07,0.011392199237102885,0.022124646467299027,2.3702779708802671e-07,0.022124409439501939
1.038,0.51494448204975696,0.50354643926260523,0.51494440490689763,0.01139804278715173,7.7142859322698598e-08,0.011397965644292407,0.022134508057609133,1.4980810944051334e-07,0.022134358249499695
1.0382500000000001,0.51497354671820617,0.50356973541402483,0.51497342470408625,0.011403811304181333,1.2201411991874522e-07,0.011403689290061414,0.022144460384139853,2.369327913954213e-07,0.02214422345134846
1.0385,0.5150025985665706,0.50359303156544444,0.51500244450127486,0.011409567001126164,1.5406529574324423e-07,0.011409412935830421,0.022154387245584571,2.9915440460312369e-07,0.022154088091179965
1.0387500000000001,0.51503163760010928,0.50361632771686415,0.51503146429846347,0.011415309883245128,1.7330164581164098e-07,0.011415136581599317,0.022164288656978389,3.3648737894855078e-07,0.022163952169599439
1.0389999999999999,0.51506066382407834,0.50363962386828376,0.51506048409565208,0.011421039955794576,1.7972842625280094e-07,0.011420860227368324,0.022174164633343985,3.4894613173990663e-07,0.022173815687212245
1.03925,0.51508967724373089,0.50366286024935136,0.51508950389284069,0.011426816994379529,1.7335089019798744e-07,0.011426643643489331,0.02218413122842015,3.3654506750280043e-07,0.022183794683352649
1.0395000000000001,0.51511867786431698,0.50368609663041897,0.51511852369002931,0.011432581233898009,1.5417428766983932e-07,0.011432427059610339,0.022194072405406634,2.9929857777443811e-07,0.022193773106828862
1.03975,0.51514766569108361,0.50370933301148657,0.51514754348721792,0.011438332679597041,1.2220386569339325e-07,0.011438210475731347,0.022203988179296526,2.372210413289041e-07,0.022203750958255195
1.04,0.51517664072927494,0.50373256939255417,0.51517656328440653,0.011444071336720762,7.7444868407106071e-08,0.011443993891852355,0.022213878565069865,1.503268244023571e-07,0.022213728238245464
1.0402500000000001,0.51520560298413209,0.5037557460742963,0.51520548081468442,0.011449856909835798,1.2216944766940685e-07,0.011449734740388129,0.02222385945245324,2.37127560262906e-07,0.022223622324892979
1.0405,0.51523455246089322,0.50377892275603842,0.51523439834496221,0.011455629704854808,1.5411593101699594e-07,0.011455475588923791,0.02223381496861913,2.9911800418061671e-07,0.022233515850614949
1.0407500000000001,0.51526348916479348,0.50380209943778054,0.5152633158752401,0.011461389727012938,1.7328955337347907e-07,0.011461216437459565,0.022243745128518688,3.3631250227794936e-07,0.02224340881601641
1.0409999999999999,0.51529241310106499,0.50382527611952266,0.51529223340551789,0.011467136981542336,1.7969554710894897e-07,0.011466957285995227,0.022253649947089844,3.4872538880890664e-07,0.022253301221701036
1.04125,0.51532132427493693,0.50384839317275332,0.51532115093579567,0.011472931102183614,1.7333914126282934e-07,0.011472757763042352,0.022263645150578892,3.3637098466033631e-07,0.022263308779594232
1.0415000000000001,0.51535022269163566,0.50387151022598409,0.51535006846607356,0.011478712465651575,1.542255620989863e-07,0.011478558240089476,0.022273615029598893,2.992635984388974e-07,0.022273315766000456
1.04175,0.51537910835638434,0.50389462727921475,0.51537898599635135,0.011484481077169595,1.223600329947061e-07,0.0114843587171366,0.02228355959905938,2.3741752626513914e-07,0.022283322181533116
1.042,0.51540798127440324,0.50391774433244541,0.51540790352662924,0.011490236941957832,7.7747773996605929e-08,0.011490159194183835,0.022293478873856257,1.5084705092141919e-07,0.022293328026805337
