ic_scale,alpha_qg,proxy_primary_l2,proxy_template_maxabs,proxy_template_terminal
0.9994,1e-06,0.10244331404814666,0.15436541054945963,0.15436541054945963
0.9994,1.3e-06,0.13073704835400365,0.19510549349237083,0.19510549349237083
0.9995,3e-07,0.03183807893179068,0.04926010144078746,0.04926010144078746
0.9995,5e-07,0.052289529815355916,0.08019748596567572,0.08019748596567572
0.9995,7e-07,0.0721976087210729,0.1098590023867273,0.1098590023867273
0.9995,1e-06,0.10115206257114753,0.1522994361154162,0.1522994361154162
0.9995,1.3e-06,0.1291400995015919,0.19263555117962483,0.19263555117962483
0.9996,3e-07,0.031407420586288246,0.048511952629640254,0.048511952629640254
0.9996,5e-07,0.05160182709278919,0.0790389158816669,0.0790389158816669
0.9996,7e-07,0.07127199313089604,0.10834235671407128,0.10834235671407128
0.9996,1e-06,0.09989897013016226,0.15032142961266365,0.15032142961266365
0.9996,1.3e-06,0.1275882747660985,0.19026590791601344,0.19026590791601344
0.9997,3e-07,0.030990901833533188,0.047799431257829594,0.047799431257829594
0.9997,5e-07,0.05093576341713957,0.07793294721713778,0.07793294721713778
0.9997,7e-07,0.07037441816072128,0.10689173888670561,0.10689173888670561
0.9997,1e-06,0.09868198479014469,0.1484249657336541,0.1484249657336541
0.9997,1.3e-06,0.12607925893772456,0.1879894992643955,0.1879894992643955
0.9998,3e-07,0.030587672723992952,0.04711968802591632,0.04711968802591632
0.9998,5e-07,0.05029009779271194,0.07687554849020328,0.07687554849020328
0.9998,7e-07,0.06950334089879406,0.10550226739784918,0.10550226739784918
0.9998,1e-06,0.09749922388325767,0.14660427902077877,0.14660427902077877
0.9998,1.3e-06,0.12461092045771242,0.1857999667924214,0.1857999667924214
0.9999,3e-07,0.030196960451654313,0.04647018815411258,0.04647018815411258
0.9999,5e-07,0.04966369705540735,0.07586311665830175,0.07586311665830175
0.9999,7e-07,0.06865734758166712,0.10416956380731407,0.10416956380731407
0.9999,1e-06,0.0963489550805642,0.14485417712991228,0.14485417712991228
0.9999,1.3e-06,0.1231812914774735,0.18369156709866613,0.18369156709866613
1.0,3e-07,0.029818060047019035,0.04584866764823792,0.04584866764823792
1.0,5e-07,0.049055523353736384,0.0748924195212789,0.0748924195212789
1.0,7e-07,0.06783513906801192,0.10288968685313726,0.10288968685313726
1.0,1e-06,0.09522958011196747,0.14316996789663095,0.14316996789663095
1.0,1.3e-06,0.12178855064762262,0.18165909511004585,0.18165909511004585
1.0001,3e-07,0.02945032645424518,0.04525309683130374,0.04525309683130374
1.0001,5e-07,0.04846462342893637,0.07396054740986313,0.07396054740986313
1.0001,7e-07,0.06703551834423052,0.10165907695340803,0.10165907695340803
1.0001,1e-06,0.09413962069565723,0.14154739764580837,0.14154739764580837
1.0001,1.3e-06,0.12043100819234397,0.17969781903155924,0.17969781903155924
1.0002,3e-07,0.029093167747034538,0.04468164974314376,0.04468164974314376
1.0002,5e-07,0.04789011938652377,0.07306487242292564,0.07306487242292564
1.0002,7e-07,0.0662573797233408,0.10047450919223494,0.10047450919223494
1.0002,1e-06,0.09307770631741932,0.13998259871789914,0.13998259871789914
1.0002,1.3e-06,0.11910709290273747,0.17780342486943085,0.17780342486943085
1.0003,3e-07,0.0287460392940007,0.044132678322975016,0.044132678322975016
1.0003,5e-07,0.047331200716437094,0.07220301385055145,0.07220301385055145
1.0003,7e-07,0.06549969946652441,0.09933305328447445,0.09933305328447445
1.0003,1e-06,0.0920425635720396,0.1384720446068935,0.1384720446068935
1.0003,1.3e-06,0.1178153407556593,0.1759719688786598,0.1759719688786598
1.0004,3e-07,0.028408438714863874,0.04360469050789595,0.04360469050789595
1.0004,5e-07,0.0467871173607614,0.07137280869291196,0.07137280869291196
1.0004,7e-07,0.06476152760448574,0.09823203931376856,0.09823203931376856
1.0004,1e-06,0.09103300682618526,0.13701251141648696,0.13701251141648696
1.0004,1.3e-06,0.11655438491208296,0.17419983660376792,0.17419983660376792
1.0005,3e-07,0.028079901502883715,0.043096331563237666,0.043096331563237666
1.0005,5e-07,0.04625717366745974,0.07057228640564084,0.07057228640564084
1.0005,7e-07,0.06404198077728389,0.09716902827658214,0.09716902827658214
1.0005,1e-06,0.09004793000989213,0.13560104459828914,0.13560104459828914
1.0005,1.3e-06,0.11532294689678031,0.17248370744345543,0.17248370744345543
1.0006,3e-07,0.027759997207437617,0.04260636808957219,0.04260636808957219
1.0006,5e-07,0.0457407230941809,0.06979964716577569,0.06979964716577569
1.0006,7e-07,0.06334023593936505,0.09614178664373663,0.09614178664373663
1.0006,1e-06,0.08908629937075459,0.1342349301214899,0.1342349301214899
1.0006,1.3e-06,0.11411982878937654,0.1708205238612186,0.1708205238612186
1.0007,3e-07,0.027448326094347948,0.04213367426542991,0.04213367426542991
1.0007,5e-07,0.04523716355469596,0.06905324309262129,0.06905324309262129
1.0007,7e-07,0.06265552480981318,0.09514826430764478,0.09514826430764478
1.0007,1e-06,0.08814714705861579,0.13291166938735843,0.13291166938735843
1.0007,1.3e-06,0.11294390628932839,0.16920746452932134,0.16920746452932134
1.0008,3e-07,0.027144516212114826,0.041677219961888445,0.041677219961888445
1.0008,5e-07,0.044745933313605046,0.06833156195404455,0.06833156195404455
1.0008,7e-07,0.06198712895901035,0.0941865753846789,0.0941865753846789
1.0008,1e-06,0.08722956542586349,0.1316289573179681,0.1316289573179681
